date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,ad_spend,conversions,CPA,revenue,ROAS,month,day,year,quarter,profit,cluster,segment,pca1,pca2
1/21/2024,Google Ads,Search,Fintech,UAE,59886,2113,0.0353,1.26,2662.38,159,16.74,4803.43,1.8,1,21,2024,1,2141.05,0,Medium ROAS,-0.016994088,-0.231750162
1/22/2024,TikTok Ads,Search,EdTech,UK,135608,5220,0.0385,1.18,6159.6,411,14.99,64126.68,10.41,1,22,2024,1,57967.08,2,High ROAS,0.9574137866945801,-0.145222357
6/15/2024,TikTok Ads,Video,Healthcare,USA,92313,5991,0.0649,0.85,5092.35,267,19.07,10489.07,2.06,6,15,2024,2,5396.719999999999,2,High ROAS,0.2286968232629457,1.485365634190021
1/2/2024,TikTok Ads,Shopping,SaaS,Germany,83953,5935,0.0707,1.32,7834.2,296,26.47,50505.07,6.45,1,2,2024,1,42670.87,2,High ROAS,0.6214452967902053,1.798601979538293
2/22/2024,TikTok Ads,Search,Healthcare,UK,91807,4489,0.0489,1.93,8663.77,107,80.97,3369.53,0.39,2,22,2024,1,-5294.24,1,Low ROAS,-1.135824321,0.7870771955520736
10/15/2024,TikTok Ads,Search,Fintech,Canada,17666,724,0.041,0.37,267.88,23,11.65,5220.85,19.49,10,15,2024,4,4952.97,2,High ROAS,2.0026957323124193,-0.109612057
8/14/2024,Meta Ads,Video,Fintech,USA,118252,3748,0.0317,0.42,1574.16,152,10.36,12838.56,8.16,8,14,2024,3,11264.4,0,Medium ROAS,0.7370019149603995,-0.529964172
4/5/2024,TikTok Ads,Search,EdTech,UAE,92939,5176,0.0557,0.66,3416.16,388,8.8,96298.69,28.19,4,5,2024,2,92882.53,2,High ROAS,3.105318912628067,0.6373809538916871
4/17/2024,Meta Ads,Display,EdTech,Germany,30939,937,0.0303,0.59,552.83,63,8.78,16531.03,29.9,4,17,2024,2,15978.199999999999,2,High ROAS,3.066868425617443,-0.850201728
11/13/2024,Google Ads,Shopping,Fintech,USA,8748,362,0.0414,1.21,438.02,10,43.8,966.57,2.21,11,13,2024,4,528.5500000000001,0,Medium ROAS,-0.378205663,0.20809702543172925
4/22/2024,Meta Ads,Video,E-commerce,UAE,98264,3144,0.032,1.56,4904.64,129,38.02,23127.27,4.72,4,22,2024,2,18222.63,0,Medium ROAS,-0.094829824,-0.382130572
9/11/2024,Meta Ads,Video,Fintech,Canada,173229,5092,0.0294,1.72,8758.24,65,134.74,12320.17,1.41,9,11,2024,3,3561.9300000000003,1,Low ROAS,-2.10671911,-0.170065435
5/26/2024,Meta Ads,Video,SaaS,Canada,147483,2138,0.0145,0.57,1218.66,159,7.66,42434.18,34.82,5,26,2024,2,41215.52,2,High ROAS,3.472388168611881,-1.82078504
2/29/2024,Google Ads,Shopping,SaaS,USA,116472,4006,0.0344,2.68,10736.08,291,36.89,78428.38,7.31,2,29,2024,1,67692.3,0,Medium ROAS,0.22099992924312156,-0.275003504
4/22/2024,TikTok Ads,Shopping,EdTech,Canada,37711,2111,0.056,0.68,1435.48,92,15.6,13898.86,9.68,4,22,2024,2,12463.380000000001,2,High ROAS,1.0215434257689127,0.8768795731910454
10/15/2024,TikTok Ads,Shopping,E-commerce,Germany,96412,7047,0.0731,1.11,7822.17,194,40.32,36717.43,4.69,10,15,2024,4,28895.260000000002,2,High ROAS,0.22049920724462296,2.003154939727324
8/13/2024,TikTok Ads,Video,Fintech,Canada,184476,8854,0.048,0.35,3098.9,198,15.65,56216.92,18.14,8,13,2024,3,53118.02,2,High ROAS,1.852109219991131,0.3233049371710071
8/20/2024,TikTok Ads,Search,Fintech,Germany,38828,3607,0.0929,0.97,3498.79,116,30.16,8788.51,2.51,8,20,2024,3,5289.72,2,High ROAS,0.332464704759546,3.137495657888774
12/25/2024,Meta Ads,Video,SaaS,Canada,187957,4586,0.0244,2.1,9630.6,271,35.54,34433.97,3.58,12,25,2024,4,24803.370000000003,0,Medium ROAS,-0.240368363,-0.817822232
11/1/2024,Google Ads,Video,SaaS,Canada,34592,1615,0.0467,1.15,1857.25,116,16.01,4344.96,2.34,11,1,2024,4,2487.71,0,Medium ROAS,0.15201500778131558,0.4193393836777067
7/4/2024,Meta Ads,Shopping,Fintech,USA,185798,5889,0.0317,0.9,5300.1,400,13.25,41326.63,7.8,7,4,2024,3,36026.53,0,Medium ROAS,0.6497554214241315,-0.516324812
12/30/2024,TikTok Ads,Video,EdTech,India,194407,13122,0.0675,0.85,11153.7,379,29.43,56289.95,5.05,12,30,2024,4,45136.25,2,High ROAS,0.3944241181282708,1.638582933792854
11/13/2024,Google Ads,Search,SaaS,UAE,188062,8143,0.0433,1.8,14657.4,614,23.87,124232.5,8.48,11,13,2024,4,109575.1,2,High ROAS,0.6433413017672519,0.18317949875228634
12/14/2024,Meta Ads,Shopping,Healthcare,India,195710,4481,0.0229,0.53,2374.93,352,6.75,27223.39,11.46,12,14,2024,4,24848.46,0,Medium ROAS,1.0730084987343858,-1.086655949
4/9/2024,Google Ads,Display,Healthcare,Australia,198824,9046,0.0455,3.61,32656.06,407,80.24,71482.19,2.19,4,9,2024,2,38826.130000000005,1,Low ROAS,-0.961340975,0.5685890720872946
6/8/2024,Meta Ads,Shopping,SaaS,USA,196962,5081,0.0258,2.06,10466.86,282,37.12,24196.95,2.31,6,8,2024,2,13730.09,0,Medium ROAS,-0.390185111,-0.717843041
8/29/2024,Google Ads,Shopping,SaaS,UAE,105386,3783,0.0359,1.82,6885.06,130,52.96,36776.35,5.34,8,29,2024,3,29891.289999999997,0,Medium ROAS,-0.247706777,-0.112744492
9/5/2024,Google Ads,Search,Healthcare,UAE,49425,1996,0.0404,1.27,2534.92,98,25.87,9253.27,3.65,9,5,2024,3,6718.35,0,Medium ROAS,0.06988088340541032,0.0741752222921233
12/26/2024,Meta Ads,Video,E-commerce,Canada,191141,4453,0.0233,1.23,5477.19,72,76.07,8367.46,1.53,12,26,2024,4,2890.2699999999995,0,Medium ROAS,-1.154136313,-0.722430336
5/23/2024,TikTok Ads,Shopping,EdTech,Canada,91900,4696,0.0511,0.53,2488.88,367,6.78,109696.83,44.07,5,23,2024,2,107207.95,2,High ROAS,4.790712545298553,0.193625101117851
11/26/2024,Google Ads,Video,Healthcare,Canada,11801,795,0.0674,2.97,2361.15,57,41.42,3966.25,1.68,11,26,2024,4,1605.1,2,High ROAS,-0.168252819,1.709576396838133
11/16/2024,Meta Ads,Display,Fintech,UAE,193926,5837,0.0301,1,5837,193,30.24,28429.29,4.87,11,16,2024,4,22592.29,0,Medium ROAS,0.036279418794147665,-0.519928815
2/27/2024,Google Ads,Display,EdTech,India,35355,961,0.0272,2.22,2133.42,68,31.37,6145.22,2.88,2,27,2024,1,4011.8,0,Medium ROAS,-0.219998982,-0.662431512
11/12/2024,TikTok Ads,Shopping,Healthcare,UAE,133148,9120,0.0685,0.5,4560,279,16.34,83385.98,18.29,11,12,2024,4,78825.98,2,High ROAS,2.0346957833637513,1.5097259160871854
1/12/2024,Meta Ads,Video,E-commerce,Canada,104657,4029,0.0385,0.71,2860.59,204,14.02,10401.62,3.64,1,12,2024,1,7541.030000000001,0,Medium ROAS,0.252825531980521,-0.075654546
5/24/2024,TikTok Ads,Shopping,Fintech,India,174160,9683,0.0556,1.84,17816.72,512,34.8,73177.92,4.11,5,24,2024,2,55361.2,2,High ROAS,0.0999453308457262,0.9785570651988517
1/5/2024,TikTok Ads,Display,Fintech,UAE,6015,410,0.0683,1.93,791.3,28,28.26,4383.32,5.54,1,5,2024,1,3592.0199999999995,2,High ROAS,0.4733661353920234,1.675628253419983
1/6/2024,Meta Ads,Search,Healthcare,Australia,17763,726,0.0409,1.94,1408.44,30,46.95,1946.19,1.38,1,6,2024,1,537.75,0,Medium ROAS,-0.524255431,0.19875259583821908
10/14/2024,TikTok Ads,Search,EdTech,India,97193,6230,0.0641,1.6,9968,306,32.58,81609.12,8.19,10,14,2024,4,71641.12,2,High ROAS,0.645957068379156,1.4187874301943502
3/6/2024,Meta Ads,Shopping,Healthcare,UAE,58682,1748,0.0298,1.49,2604.52,84,31.01,12746.65,4.89,3,6,2024,1,10142.13,0,Medium ROAS,0.022769842805072448,-0.534893829
3/21/2024,TikTok Ads,Display,SaaS,Canada,108196,5334,0.0493,0.99,5280.66,289,18.27,27408.56,5.19,3,21,2024,1,22127.9,2,High ROAS,0.4399061598171747,0.5466919885771971
1/8/2024,Google Ads,Search,Fintech,India,63243,1707,0.027,2.24,3823.68,37,103.34,3893.12,1.02,1,8,2024,1,69.44000000000005,1,Low ROAS,-1.637754191,-0.410788328
8/20/2024,Google Ads,Search,E-commerce,UAE,152979,4650,0.0304,0.79,3673.5,330,11.13,91949.73,25.03,8,20,2024,3,88276.23,2,High ROAS,2.5093160395584975,-0.784075333
1/8/2024,Google Ads,Display,EdTech,USA,132600,6802,0.0513,1.53,10407.06,97,107.29,6779.29,0.65,1,8,2024,1,-3627.77,1,Low ROAS,-1.532666921,1.0120328223466486
9/30/2024,Google Ads,Video,Fintech,Australia,110977,4150,0.0374,1.13,4689.5,197,23.8,18314.78,3.91,9,30,2024,3,13625.279999999999,0,Medium ROAS,0.10650982848495505,-0.109134797
