"platform","campaign_type","industry","avg_CTR","avg_ROAS","avg_CPA","total_revenue","total_spend","total_conversions"
"TikTok Ads","Display","E-commerce",0.0617,13.6,18.74,746709.42,81148,4394
"TikTok Ads","Search","E-commerce",0.0508,12.31,28.06,1489578.34,139206.94,7320
"TikTok Ads","Display","Healthcare",0.0561,11.17,24.77,1371497.54,142828.45,7383
"TikTok Ads","Video","Fintech",0.0578,11.02,27.12,1025498.57,130522.43,6200
"TikTok Ads","Search","SaaS",0.0561,11,31.06,1248202.64,128897.21,6620
"TikTok Ads","Search","EdTech",0.0548,10.76,23.73,1595066.25,184684.53,9849
"TikTok Ads","Video","SaaS",0.0541,10.43,33.82,931079.24,133375,5958
"TikTok Ads","Display","SaaS",0.0555,10.35,25.02,1507728.74,182449.23,9145
"TikTok Ads","Shopping","Fintech",0.0583,9.97,32.51,878469.09,118130.22,5053
"TikTok Ads","Video","EdTech",0.0513,9.46,29.55,1123088.03,149321.17,6515
"TikTok Ads","Search","Healthcare",0.0559,9.18,27.16,930461.84,147522.03,6449
"TikTok Ads","Search","Fintech",0.063,9.06,26.79,561501.09,117191.24,5237
"Meta Ads","Shopping","Healthcare",0.0239,8.8,36.43,878824.94,113927.67,5153
"Meta Ads","Search","EdTech",0.0241,8.74,45.22,745808.83,114958.81,4368
"TikTok Ads","Shopping","EdTech",0.0535,8.73,37.99,807041.66,147895.68,5157
"TikTok Ads","Video","Healthcare",0.0504,8.63,26.89,667638.26,84637.03,4327
"Meta Ads","Search","Healthcare",0.0282,8.49,35.78,847676.74,118581.01,4777
"Meta Ads","Video","SaaS",0.0244,8.11,43.78,646587.81,107350.44,3555
"Meta Ads","Display","EdTech",0.0246,8.1,31.5,749331.2,110252.98,3855
"TikTok Ads","Display","EdTech",0.0472,8.1,37.94,698610.39,93128.37,3669
"TikTok Ads","Shopping","Healthcare",0.0575,8.02,32.81,1026883.51,145405.95,5996
"TikTok Ads","Video","E-commerce",0.0556,7.98,30.43,761806.05,98974.01,4515
"Meta Ads","Display","Healthcare",0.0259,7.79,40.6,740359.36,126631.62,4209
"TikTok Ads","Shopping","SaaS",0.0561,7.78,30.61,1658525.46,202750.89,9923
"Meta Ads","Shopping","EdTech",0.025,7.72,40.61,455060.48,74530.44,3035
"TikTok Ads","Display","Fintech",0.0544,7.48,27.33,610522.64,116402.81,4343
"Meta Ads","Display","Fintech",0.0277,7.4,32.31,583458.66,104942.82,3755
"Meta Ads","Display","SaaS",0.0235,7.36,34.15,748084.72,128038.18,4467
"Meta Ads","Search","SaaS",0.024,7.15,37.89,465032.02,57975.91,2455
"Meta Ads","Video","Healthcare",0.024,6.75,35.74,434238.22,86536.85,2864
"Meta Ads","Video","E-commerce",0.0261,6.68,37.74,665418.01,116655.85,4108
"Meta Ads","Shopping","Fintech",0.0243,6.43,38.58,566416.61,107122.66,4146
"Meta Ads","Video","EdTech",0.0273,6.29,42.76,794850.59,141508.53,4255
"TikTok Ads","Shopping","E-commerce",0.0495,6.06,31.35,583631.31,108947.32,4399
"Meta Ads","Video","Fintech",0.0239,6,42.3,410770.08,83528.47,2380
"Meta Ads","Shopping","E-commerce",0.0249,5.78,33.52,555709.24,116900.38,4166
"Google Ads","Search","E-commerce",0.0414,5.56,54.56,1324398.95,309780.63,7482
"Meta Ads","Display","E-commerce",0.0225,5.49,42.18,367679.15,77760.09,2348
"Meta Ads","Search","Fintech",0.0238,5.34,43.63,503144.58,131659.07,3657
"Google Ads","Search","EdTech",0.0376,5.32,53.39,1101228.79,257277.49,6165
"Google Ads","Video","EdTech",0.0426,5.14,61.92,1540081.32,345350.93,8349
"Meta Ads","Search","E-commerce",0.0247,4.85,42.99,445343.88,97804.49,3082
"Google Ads","Search","SaaS",0.0411,4.8,60.56,1367054.35,329332.44,7406
"Google Ads","Video","E-commerce",0.0375,4.76,65.41,956253.49,284017.75,5512
"Google Ads","Display","Fintech",0.0383,4.7,62.09,1036824.53,265749.86,5549
"Meta Ads","Shopping","SaaS",0.0263,4.66,42.82,322250.67,89395.4,2627
"Google Ads","Shopping","SaaS",0.0376,4.4,64.65,1185747.37,350907.56,6798
"Google Ads","Search","Fintech",0.0423,4.28,56.46,1440052.27,383682.88,8942
"Google Ads","Display","SaaS",0.038,4.22,50.9,703098.8,234675.13,5292
"Google Ads","Search","Healthcare",0.0403,4.14,63.12,1153920.28,349452.17,6832
"Google Ads","Video","Fintech",0.0391,4.12,58.78,1264328,350151.23,8243
"Google Ads","Video","Healthcare",0.0382,4.04,73.45,1011023.92,272114.34,5432
"Google Ads","Shopping","E-commerce",0.043,3.8,67.06,902791.41,270034.48,5246
"Google Ads","Shopping","Fintech",0.0402,3.7,66.82,1292325.11,362454.04,7616
"Google Ads","Shopping","EdTech",0.0408,3.64,71.39,944702.66,303416.79,5340
"Google Ads","Display","E-commerce",0.0421,3.51,58.65,837960.44,222757.14,4914
"Google Ads","Display","Healthcare",0.0403,3.14,70.89,1101973.35,383317.64,6846
"Google Ads","Display","EdTech",0.0388,3.09,78.94,995064.23,374652.8,6700
"Google Ads","Shopping","Healthcare",0.0376,3.07,72.09,766316.08,287729.16,5419
"Google Ads","Video","SaaS",0.0395,2.85,72.2,1108599.6,412414.45,7015
